YEAR,MONTH,ENERGY_WH,MONTH_NAME,ENERGY_KWH,TAVG,TMAX,TMIN,ENERGY_TAVG_RATIO,ENERGY_TMAX_RATIO,ENERGY_TMIN_RATIO
2013,7,9122,July,9.122,70.85483870967742,80.58064516129032,61.12903225806452,0.12874208968814022,0.11320336269015212,0.14922532981530343
2013,8,109951,August,109.951,69.59677419354838,80.35483870967742,58.83870967741935,1.579828968713789,1.3683183460457646,1.8686847587719297
2013,9,216974,September,216.974,62.63333333333333,73.36666666666666,51.9,3.4641937200638635,2.957392094502499,4.180616570327553
2013,10,97897,October,97.897,49.88709677419355,58.645161290322584,41.12903225806452,1.9623711606854186,1.6693107810781078,2.380240784313725
2013,11,91185,November,91.185,34.6,42.03333333333333,27.166666666666668,2.6354046242774567,2.1693497224425062,3.3565030674846623
2013,12,70486,December,70.486,15.96774193548387,23.64516129032258,8.290322580645162,4.414274747474748,2.9809904502046387,8.50220233463035
2014,1,87733,January,87.733,9.790322580645162,19.032258064516128,0.5483870967741935,8.961196046128501,4.6097,159.98370588235295
2014,2,168512,February,168.512,10.214285714285714,19.642857142857142,0.7857142857142857,16.497678321678322,8.578792727272727,214.4698181818182
2014,3,209141,March,209.141,25.451612903225808,34.41935483870968,16.483870967741936,8.217200253485423,6.076261480787253,12.687614481409001
2014,4,153510,April,153.51,42.81666666666667,51.86666666666667,33.766666666666666,3.585286103542234,2.9597043701799484,4.546199407699901
2014,5,219842,May,219.842,57.774193548387096,68.25806451612904,47.29032258064516,3.8051937465103296,3.2207476370510397,4.648773533424285
2014,6,199383,June,199.383,68.65517241379311,77.06896551724138,60.241379310344826,2.9041220492214967,2.5870724832214766,3.3097349742415574
2014,7,222508,July,222.508,67.66129032258064,77.70967741935483,57.61290322580645,3.2885568533969014,2.8633242009132425,3.8621209406494965
2014,8,193484,August,193.484,69.37096774193549,78.16129032258064,60.58064516129032,2.789120669611718,2.475445315724309,3.1938253461128863
2014,9,171124,September,171.124,59.666666666666664,70.23333333333333,49.1,2.868,2.4365068818224964,3.485213849287169
2014,10,124449,October,124.449,48.17741935483871,56.38709677419355,39.96774193548387,2.583139604954804,2.2070474828375284,3.11373607748184
2014,11,66173,November,66.173,28.583333333333332,35.93333333333333,21.233333333333334,2.3150903790087467,1.841549165120594,3.1164678178963894
2014,12,63770,December,63.77,26.951612903225808,32.516129032258064,21.387096774193548,2.3660921603830043,1.9611805555555557,2.9817043740573155
2015,1,76728,January,76.728,18.725806451612904,25.419354838709676,12.03225806451613,4.0974470284237725,3.01848730964467,6.376857908847184
2015,2,149499,February,149.499,10.375,18.964285714285715,1.7857142857142858,14.4095421686747,7.8831864406779655,83.71943999999999
2015,3,202526,March,202.526,33.564516129032256,43.96774193548387,23.161290322580644,6.033931763575205,4.60624064563463,8.74415877437326
2015,4,185598,April,185.598,46.2,56.2,36.2,4.0172727272727276,3.302455516014235,5.127016574585635
2015,5,212888,May,212.888,58.83870967741935,69.41935483870968,48.25806451612903,3.6181622807017546,3.0666951672862455,4.4114491978609625
2015,6,202105,June,202.105,66.18333333333334,76.03333333333333,56.333333333333336,3.0537144296147063,2.6581104778605873,3.5876627218934907
2015,7,254259,July,254.259,69.80645161290323,80.51612903225806,59.096774193548384,3.642342421441774,3.1578641826923075,4.302417576419214
2015,8,185265,August,185.265,68.11290322580645,77.03225806451613,59.193548387096776,2.719969216197016,2.405031407035176,3.129817438692098
2015,9,189614,September,189.614,65.95,75.6,56.3,2.875117513267627,2.5081216931216934,3.3679218472468917
2015,10,130473,October,130.473,51.04838709677419,59.87096774193548,42.225806451612904,2.5558691943127965,2.179236530172414,3.0898877005347596
2015,11,86736,November,86.736,41.81666666666667,50.43333333333333,33.2,2.07419689119171,1.7198149372108396,2.6125301204819276
2015,12,42805,December,42.805,34.54838709677419,39.774193548387096,29.322580645161292,1.2389869281045751,1.0762003244120033,1.4597964796479648
2016,1,82540,January,82.54,20.419354838709676,27.096774193548388,13.741935483870968,4.042243285939969,3.046119047619048,6.006431924882629
2016,2,110895,February,110.895,24.637931034482758,31.482758620689655,17.79310344827586,4.500986703988803,3.522404162102957,6.232470930232558
2016,3,138432,March,138.432,37.88709677419355,45.45161290322581,30.322580645161292,3.6538033205619405,3.045700496806245,4.565310638297872
2016,4,178315,April,178.315,43.4,52.53333333333333,34.266666666666666,4.108640552995392,3.394321065989848,5.203745136186771
2016,5,232860,May,232.86,57.79032258064516,68.83870967741936,46.74193548387097,4.029394362266258,3.382689784442362,4.981821946169773
2016,6,220739,June,220.739,67.68333333333334,78.0,57.36666666666667,3.261349421324797,2.8299871794871794,3.8478617083091224
2016,7,221159,July,221.159,72.12903225806451,81.6774193548387,62.58064516129032,3.066157871198569,2.7077128751974726,3.533984020618557
2016,8,215766,August,215.766,71.75806451612904,80.96774193548387,62.54838709677419,3.006853674983142,2.664839043824701,3.449585353274884
2016,9,168459,September,168.459,65.21666666666667,74.23333333333333,56.2,2.5830667007411194,2.2693174674449934,2.997491103202847
2016,10,121621,October,121.621,52.88709677419355,61.96774193548387,43.806451612903224,2.2996346447087523,1.9626501821967723,2.7763262150220913
2016,11,109552,November,109.552,43.4,52.2,34.6,2.524239631336406,2.098697318007663,3.166242774566474
2016,12,62442,December,62.442,22.516129032258064,28.0,17.032258064516128,2.7732120343839544,2.2300714285714287,3.6661022727272727
2017,1,70418,January,70.418,21.838709677419356,27.419354838709676,16.258064516129032,3.2244579025110784,2.5681858823529415,4.331265873015873
2017,2,147273,February,147.273,29.642857142857142,38.0,21.285714285714285,4.96824578313253,3.8756052631578948,6.91886577181208
2017,3,166046,March,166.046,31.967741935483872,39.38709677419355,24.548387096774192,5.194173562058526,4.215746109746109,6.764028909329829
2017,4,163764,April,163.764,48.983333333333334,58.6,39.36666666666667,3.3432596121129636,2.7946075085324233,4.159966130397968
2017,5,215555,May,215.555,55.46774193548387,65.06451612903226,45.87096774193548,3.886132596685083,3.3129424888448193,4.699159634317863
2017,6,218522,June,218.522,68.11666666666666,78.03333333333333,58.2,3.2080548079275752,2.800367364374199,3.7546735395189
