YEAR,MONTH,TAVG,TMAX,TMIN,MONTH_NAME
2013,1,19.177419354838708,28.032258064516128,10.32258064516129,January
2013,2,19.160714285714285,27.678571428571427,10.642857142857142,February
2013,3,25.725806451612904,33.096774193548384,18.35483870967742,March
2013,4,41.5,49.6,33.4,April
2013,5,57.435483870967744,67.58064516129032,47.29032258064516,May
2013,6,66.51666666666667,75.4,57.63333333333333,June
2013,7,70.85483870967742,80.58064516129032,61.12903225806452,July
2013,8,69.59677419354838,80.35483870967742,58.83870967741935,August
2013,9,62.63333333333333,73.36666666666666,51.9,September
2013,10,49.88709677419355,58.645161290322584,41.12903225806452,October
2013,11,34.6,42.03333333333333,27.166666666666668,November
2013,12,15.96774193548387,23.64516129032258,8.290322580645162,December
2014,1,9.790322580645162,19.032258064516128,0.5483870967741935,January
2014,2,10.214285714285714,19.642857142857142,0.7857142857142857,February
2014,3,25.451612903225808,34.41935483870968,16.483870967741936,March
2014,4,42.81666666666667,51.86666666666667,33.766666666666666,April
2014,5,57.774193548387096,68.25806451612904,47.29032258064516,May
2014,6,68.65517241379311,77.06896551724138,60.241379310344826,June
2014,7,67.66129032258064,77.70967741935483,57.61290322580645,July
2014,8,69.37096774193549,78.16129032258064,60.58064516129032,August
2014,9,59.666666666666664,70.23333333333333,49.1,September
2014,10,48.17741935483871,56.38709677419355,39.96774193548387,October
2014,11,28.583333333333332,35.93333333333333,21.233333333333334,November
2014,12,26.951612903225808,32.516129032258064,21.387096774193548,December
2015,1,18.725806451612904,25.419354838709676,12.03225806451613,January
2015,2,10.375,18.964285714285715,1.7857142857142858,February
2015,3,33.564516129032256,43.96774193548387,23.161290322580644,March
2015,4,46.2,56.2,36.2,April
2015,5,58.83870967741935,69.41935483870968,48.25806451612903,May
2015,6,66.18333333333334,76.03333333333333,56.333333333333336,June
2015,7,69.80645161290323,80.51612903225806,59.096774193548384,July
2015,8,68.11290322580645,77.03225806451613,59.193548387096776,August
2015,9,65.95,75.6,56.3,September
2015,10,51.04838709677419,59.87096774193548,42.225806451612904,October
2015,11,41.81666666666667,50.43333333333333,33.2,November
2015,12,34.54838709677419,39.774193548387096,29.322580645161292,December
2016,1,20.419354838709676,27.096774193548388,13.741935483870968,January
2016,2,24.637931034482758,31.482758620689655,17.79310344827586,February
2016,3,37.88709677419355,45.45161290322581,30.322580645161292,March
2016,4,43.4,52.53333333333333,34.266666666666666,April
2016,5,57.79032258064516,68.83870967741936,46.74193548387097,May
2016,6,67.68333333333334,78.0,57.36666666666667,June
2016,7,72.12903225806451,81.6774193548387,62.58064516129032,July
2016,8,71.75806451612904,80.96774193548387,62.54838709677419,August
