Date/Time,Energy Produced (Wh)
04/13/2014,"1,892"
04/14/2014,"1,906"
04/15/2014,"6,486"
04/16/2014,"5,206"
04/17/2014,"4,008"
04/18/2014,"9,836"
04/19/2014,"9,132"
04/20/2014,"1,615"
04/21/2014,"4,372"
04/22/2014,"10,392"
04/23/2014,"7,549"
04/24/2014,"1,063"
04/25/2014,"7,813"
04/26/2014,"4,923"
04/27/2014,"3,059"
04/28/2014,"1,555"
04/29/2014,"1,400"
04/30/2014,"3,289"
05/01/2014,"3,385"
05/02/2014,"2,883"
05/03/2014,"8,646"
05/04/2014,"10,992"
05/05/2014,"7,313"
05/06/2014,"9,695"
05/07/2014,"1,901"
05/08/2014,"5,206"
05/09/2014,"6,709"
05/10/2014,"10,759"
05/11/2014,"6,638"
05/12/2014,"3,350"
05/13/2014,"3,437"
05/14/2014,"6,827"
05/15/2014,"6,038"
05/16/2014,"7,269"
05/17/2014,"7,766"
05/18/2014,"9,106"
05/19/2014,"5,307"
05/20/2014,"7,813"
05/21/2014,"10,205"
05/22/2014,"7,154"
05/23/2014,"10,410"
05/24/2014,"10,041"
05/25/2014,"9,960"
05/26/2014,"6,134"
05/27/2014,"1,991"
05/28/2014,"3,447"
05/29/2014,"10,222"
05/30/2014,"9,801"
05/31/2014,"9,437"
06/01/2014,"4,251"
06/02/2014,"4,639"
06/03/2014,"9,355"
06/04/2014,"8,156"
06/05/2014,"8,900"
06/06/2014,"7,669"
06/07/2014,"7,443"
06/08/2014,"10,285"
06/09/2014,"7,148"
06/10/2014,"5,465"
06/11/2014,"3,774"
06/12/2014,"6,945"
06/13/2014,"10,712"
06/14/2014,"8,527"
06/15/2014,"6,150"
06/16/2014,"9,321"
06/17/2014,"8,342"
06/18/2014,"3,862"
06/19/2014,"7,473"
06/20/2014,"3,097"
06/21/2014,"2,809"
06/22/2014,"4,304"
06/23/2014,"7,055"
06/24/2014,"7,456"
06/25/2014,"5,151"
06/26/2014,"6,729"
06/27/2014,"4,891"
06/28/2014,"7,081"
06/29/2014,"8,215"
06/30/2014,"4,178"
07/01/2014,"6,731"
07/02/2014,"3,513"
07/03/2014,"8,187"
07/04/2014,"9,950"
07/05/2014,"9,027"
07/06/2014,"2,932"
07/07/2014,"4,708"
07/08/2014,"7,089"
07/09/2014,"7,895"
07/10/2014,"9,828"
07/11/2014,"8,081"
07/12/2014,"3,658"
07/13/2014,"9,365"
07/14/2014,"7,628"
07/15/2014,"5,148"
07/16/2014,"8,072"
07/17/2014,"9,025"
07/18/2014,"8,488"
07/19/2014,"4,423"
07/20/2014,"7,706"
07/21/2014,"7,959"
07/22/2014,"7,107"
07/23/2014,"9,134"
07/24/2014,"9,401"
07/25/2014,"3,945"
07/26/2014,"5,478"
07/27/2014,"6,563"
07/28/2014,"6,876"
07/29/2014,"8,143"
07/30/2014,"9,150"
07/31/2014,"7,298"
08/01/2014,"5,974"
08/02/2014,"9,210"
08/03/2014,"3,573"
08/04/2014,"4,220"
08/05/2014,"7,216"
08/06/2014,"8,608"
08/07/2014,"9,355"
08/08/2014,"8,501"
08/09/2014,"6,527"
08/10/2014,"8,235"
08/11/2014,"5,401"
08/12/2014,"3,533"
08/13/2014,"8,458"
08/14/2014,"9,861"
08/15/2014,"9,502"
08/16/2014,"5,679"
08/17/2014,"5,659"
08/18/2014,"3,063"
08/19/2014,"5,070"
08/20/2014,"6,713"
08/21/2014,"2,555"
08/22/2014,"6,045"
08/23/2014,"2,364"
08/24/2014,"5,939"
08/25/2014,"4,892"
08/26/2014,"8,170"
08/27/2014,"7,721"
08/28/2014,"3,982"
08/29/2014,"6,732"
08/30/2014,"4,793"
08/31/2014,"5,933"
09/01/2014,"2,418"
09/02/2014,"7,225"
09/03/2014,"8,824"
09/04/2014,"2,588"
09/05/2014,"4,844"
09/06/2014,"9,277"
09/07/2014,"8,298"
09/08/2014,"6,436"
09/09/2014,"8,113"
09/10/2014,987
09/11/2014,"1,907"
09/12/2014,"1,411"
09/13/2014,"7,580"
09/14/2014,"7,729"
09/15/2014,"2,850"
09/16/2014,"9,675"
09/17/2014,"8,184"
09/18/2014,"5,549"
09/19/2014,"7,424"
09/20/2014,"3,774"
09/21/2014,"3,968"
09/22/2014,"8,478"
09/23/2014,"9,034"
09/24/2014,"4,797"
09/25/2014,"8,561"
09/26/2014,"5,621"
09/27/2014,"4,819"
09/28/2014,"7,117"
09/29/2014,"2,112"
09/30/2014,"1,524"
10/01/2014,"4,785"
10/02/2014,"1,509"
10/03/2014,"2,062"
10/04/2014,"1,491"
10/05/2014,"5,235"
10/06/2014,"7,432"
